road_link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,volume_at_p,resource_balance,notes
1003,1,3,0700_0800,5447.848,30.322,39.575,1.362,5447.848,5447.848,period-based
3002,3,2,0700_0800,5447.848,0.000,0.000,1.362,5447.848,5447.848,period-based
1004,1,4,0700_0800,1552.151,30.322,59.362,0.517,1552.151,1952.151,period-based
4002,4,2,0700_0800,1552.151,0.000,0.000,0.517,1552.151,1552.151,period-based
