road_link_id,from_node_id,to_node_id,time_period,volume,CA,CD,queue,travel_time,speed,notes
1003,1,3,0756:00_0757:00,1.000,3833.000,92.000,3734.000,3734.100,0.000,simulation-based
1003,1,3,0757:00_0758:00,2.000,3901.000,94.000,3801.000,1900.600,0.000,simulation-based
1003,1,3,0758:00_0759:00,0.000,3969.000,94.000,3869.000,3869.100,0.000,simulation-based
1003,1,3,0759:00_0800:00,0.000,4038.000,94.000,3937.000,3937.100,0.000,simulation-based
1003,1,3,0800:00_0801:00,2.000,4098.000,96.000,4002.000,2001.100,0.000,simulation-based
1003,1,3,0801:00_0802:00,0.000,4098.000,96.000,4002.000,4002.100,0.000,simulation-based
1003,1,3,0802:00_0803:00,2.000,4098.000,98.000,4000.000,2000.100,0.000,simulation-based
1003,1,3,0803:00_0804:00,0.000,4098.000,98.000,4000.000,4000.100,0.000,simulation-based
1003,1,3,0804:00_0805:00,2.000,4098.000,100.000,3998.000,1999.100,0.000,simulation-based
1003,1,3,0805:00_0806:00,1.000,4098.000,101.000,3997.000,3997.100,0.000,simulation-based
1003,1,3,0806:00_0807:00,1.000,4098.000,102.000,3996.000,3996.100,0.000,simulation-based
1003,1,3,0807:00_0808:00,0.000,4098.000,102.000,3996.000,3996.100,0.000,simulation-based
1003,1,3,0808:00_0809:00,1.000,4098.000,103.000,3995.000,3995.100,0.000,simulation-based
1003,1,3,0809:00_0810:00,0.000,4098.000,103.000,3995.000,3995.100,0.000,simulation-based
1003,1,3,0810:00_0811:00,2.000,4098.000,105.000,3993.000,1996.600,0.000,simulation-based
1003,1,3,0811:00_0812:00,1.000,4098.000,106.000,3992.000,3992.100,0.000,simulation-based
1003,1,3,0812:00_0813:00,1.000,4098.000,107.000,3991.000,3991.100,0.000,simulation-based
1003,1,3,0813:00_0814:00,3.000,4098.000,110.000,3988.000,1329.433,0.000,simulation-based
1003,1,3,0814:00_0815:00,0.000,4098.000,110.000,3988.000,3988.100,0.000,simulation-based
1003,1,3,0815:00_0816:00,1.000,4098.000,111.000,3987.000,3987.100,0.000,simulation-based
1003,1,3,0816:00_0817:00,2.000,4098.000,113.000,3985.000,1992.600,0.000,simulation-based
