road_link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,volume_at_p,resource_balance,notes
1003,1,3,0700_0800,4000.000,40.000,0.015,40.000,,,period-based
3002,3,2,0700_0800,0.000,45.000,60.000,0.000,,,period-based
1004,1,4,0700_0800,0.000,45.000,60.000,0.000,,,period-based
4002,4,2,0700_0800,4000.000,40.000,0.015,40.000,,,period-based
3004,3,4,0700_0800,4000.000,0.000,600.000,0.702,,,period-based
